EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243259;1;01/12/2022;3;71,0;202,0;31;25;1;1;1;;0;5,6;0,6;0,0;0,2;0,0;0,6;13,0;7,4;0,0;0,2;5,2;0,4;2,4;8,0;0,2;0,0;5,4;0,2;0,4;13,8;10,0;0,6;8,4;1,0;0,0;0,8;18,2;2,2;0,0;26,2;71,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/11/2022;3;31,6;117,2;16;15;1;1;1;;0;5,4;0,0;0,8;0,0;0,0;0,0;0,0;0,6;4,8;0,8;0,0;9,0;0,2;0,0;5,8;31,6;0,2;0,0;0,0;0,0;0,0;0,0;0,0;20,2;11,6;0,2;0,0;2,0;24,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/10/2022;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,6;0,8;0,0;0,0;5,6;0,0;0,0;0,0;;;0,0;0,2;0,6;0,2;0,2;0,0;1,0;;2,0;11,8;;;0,0;;;;20,2;0,2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;1
2243259;1;01/09/2022;3;29,0;72,4;23;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,2;0,0;2,0;6,6;0,0;0,0;0,0;0,0;14,8;29,0;0,0;0,0;0,0;8,0;2,2;5,8;1,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/08/2022;3;;;;;0;0;0;;0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;4,2;4,4;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
2243259;1;01/07/2022;3;;;;;0;0;0;;0;0,0;0,0;;0,2;5,4;13,2;28,8;0,0;0,0;0,0;;;0,0;;;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
2243259;1;01/06/2022;3;;;;;0;0;0;;0;;0,0;0,2;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/05/2022;3;9,2;15,2;5;7;1;1;1;;0;0,0;0,0;0,0;0,0;9,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;3,8;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/04/2022;3;12,0;39,0;1;13;1;1;1;;0;12,0;0,2;2,0;0,0;0,0;0,2;0,2;0,0;10,6;12,0;0,0;0,0;0,0;0,0;0,8;0,2;0,0;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/03/2022;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,6;0,2;0,4;0,2;0,2;8,8;11,2;1,8;;;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
2243259;1;01/02/2022;3;38,4;223,0;8;19;1;1;1;;0;0,2;20,6;11,4;0,2;37,2;0,4;0,2;38,4;29,2;24,4;2,0;0,2;10,8;0,2;12,2;0,0;0,0;19,0;1,2;13,4;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
2243259;1;01/01/2022;3;28,8;194,0;7;18;1;1;1;;0;1,2;12,0;13,0;0,2;0,0;4,4;28,8;4,2;4,4;11,8;23,2;22,4;19,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,8;25,0;6,6;14,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/12/2021;3;28,4;209,0;6;20;1;1;1;;0;1,0;1,2;1,2;0,2;0,0;28,4;0,2;17,0;0,0;0,8;0,0;3,6;0,0;26,0;10,6;8,6;19,4;18,2;0,0;0,0;0,0;14,0;1,0;0,0;0,0;0,0;10,2;9,0;0,0;19,2;19,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/11/2021;3;;;;;0;0;0;;0;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;0,0;3,4;1,6;0,2;0,0;8,2;;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;
2243259;1;01/10/2021;3;;;;;0;0;0;;0;;;;;;0,2;;;1,2;11,0;23,4;5,6;0,8;0,0;0,0;4,4;0,8;10,6;0,6;16,4;0,0;0,0;0,0;2,6;0,2;;0,8;3,6;;;;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
2243259;1;01/09/2021;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,4;8,6;0,0;0,0;;0,0;0,0;;;0,2;0,0;0,0;0,0;0,0;6,0;0,0;0,0;;0,2;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;
2243259;1;01/08/2021;3;5,8;10,0;16;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;1,4;1,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/07/2021;3;0,4;0,6;28;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/06/2021;3;5,8;6,4;21;3;1;1;1;;0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,8;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/05/2021;3;12,4;25,6;31;5;1;1;1;;0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;12,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/04/2021;3;6,2;23,8;27;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;5,2;0,2;0,0;0,0;0,0;0,0;5,8;0,0;0,0;0,0;0,0;0,4;0,2;0,0;0,4;0,0;0,0;0,0;0,0;0,0;6,2;2,2;3,2;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/03/2021;3;15,0;54,2;11;14;1;1;1;;0;0,0;0,0;0,0;0,0;0,2;2,8;7,2;0,4;0,4;6,0;15,0;0,2;0,0;0,0;0,0;0,4;0,2;11,0;0,2;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;9,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/02/2021;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;13,2;50,0;11,0;0,0;2,6;0,0;4,4;0,2;25,4;8,2;14,2;0,2;12,4;2,4;;0,0;1,8;0,2;0,0;0,0;0,2;0,0;1,8;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;
2243259;1;01/01/2021;3;31,8;91,4;2;12;1;1;1;;0;3,4;31,8;16,0;12,0;0,2;0,2;1,8;1,8;5,6;7,6;6,8;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/12/2020;3;87,6;230,0;24;21;1;1;1;;0;3,2;0,2;7,8;4,0;0,2;3,2;17,4;25,6;0,0;16,4;0,0;0,2;3,0;0,0;0,0;0,0;8,0;0,8;2,4;0,0;0,0;6,2;4,2;87,6;0,6;0,0;37,6;1,2;0,0;0,0;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/11/2020;3;29,6;156,8;18;17;1;1;1;;0;0,0;0,0;7,6;25,4;0,0;6,0;0,0;0,0;0,0;5,0;11,6;22,6;9,4;1,8;0,0;1,4;0,0;29,6;18,6;0,2;0,0;15,0;1,2;1,0;0,0;0,2;0,0;0,0;0,0;0,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/10/2020;3;14,4;28,8;25;7;1;1;1;;0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;5,4;14,4;0,0;0,0;0,0;0,6;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/09/2020;3;13,4;28,0;22;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;12,0;13,4;0,4;0,0;0,2;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/08/2020;3;7,0;13,0;22;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/07/2020;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,2;;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,2;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/06/2020;3;6,6;10,0;8;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;6,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/05/2020;3;9,4;13,8;24;8;1;1;1;;0;0,0;0,2;0,2;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,4;0,2;0,0;0,0;0,0;0,0;0,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/04/2020;3;5,4;7,6;3;5;1;1;1;;0;0,2;0,0;5,4;0,0;0,0;0,0;1,6;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/03/2020;3;14,2;53,6;3;12;1;1;1;;0;6,2;9,2;14,2;1,4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;8,2;7,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;3,4;1,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/02/2020;3;;;;;0;0;0;;0;0,0;3,0;3,8;6,2;3,4;2,4;0,0;0,0;1,0;13,8;8,2;8,2;1,0;0,2;0,0;3,8;0,0;0,0;0,0;0,4;0,0;0,2;1,0;0,4;1,6;13,8;;6,4;0,2;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;;
2243259;1;01/01/2020;3;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;1,8;0,0;0,0;0,4;7,8;2,0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
2243259;1;01/12/2019;3;39,6;236,6;23;31;1;1;1;;0;24,4;0,2;0,0;0,0;26,0;6,6;0,8;0,0;2,8;27,4;18,6;19,0;0,2;0,0;0,2;0,0;0,0;0,0;35,4;0,4;0,0;31,0;39,6;3,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/11/2019;3;30,4;73,4;15;30;1;1;1;;0;0,2;0,0;0,0;0,0;4,0;0,0;0,2;0,0;2,2;0,0;0,2;5,0;0,0;7,0;30,4;0,0;0,0;1,6;1,6;7,6;2,4;1,4;0,2;0,0;0,0;0,0;0,0;7,8;0,6;1,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/10/2019;3;48,8;83,0;25;31;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,2;12,2;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;2,6;0,0;0,0;48,8;0,2;0,0;0,0;4,6;0,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/09/2019;3;41,2;73,8;26;30;1;1;1;;0;0,0;1,0;18,6;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,4;41,2;0,6;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/08/2019;3;7,2;8,0;23;31;1;1;1;;0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/07/2019;3;6,8;7,2;5;31;1;1;1;;0;0,0;0,0;0,0;0,0;6,8;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/06/2019;3;15,0;17,6;3;30;1;1;1;;0;0,0;0,0;15,0;0,0;0,2;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/05/2019;3;48,8;64,0;17;31;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,4;0,0;0,0;3,6;0,2;48,8;10,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/04/2019;3;28,8;47,0;8;30;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,8;3,0;0,4;0,0;0,0;0,0;0,2;0,8;0,2;13,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/03/2019;3;30,6;77,6;2;31;1;1;1;;0;0,4;30,6;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;3,2;1,8;0,0;2,6;0,0;0,6;15,2;11,6;0,8;0,2;2,4;0,2;0,0;0,0;0,0;0,0;0,0;1,4;3,4;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/02/2019;3;0,0;0,0;1;28;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
2243259;1;01/01/2019;3;24,0;64,2;3;31;1;1;1;;0;0,8;7,8;24,0;5,0;13,2;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;11,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/12/2018;3;24,6;110,4;23;31;1;1;1;;0;8,8;4,0;0,2;1,6;3,4;19,4;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,6;22,0;0,6;12,8;1,6;11,0;0,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/11/2018;3;;;;;0;0;0;;;;;0,0;;;0,2;4,8;16,8;1,2;1,2;2,0;0,0;0,0;7,2;0,2;5,8;0,0;0,0;28,8;12,8;5,2;0,0;1,4;0,4;0,4;0,0;0,0;0,0;0,0;0,2;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/10/2018;3;16,6;44,0;13;31;1;1;1;;0;1,0;1,0;0,0;0,0;0,0;0,2;0,2;0,4;0,0;0,0;6,8;0,0;16,6;0,0;2,6;0,8;2,6;0,2;0,0;0,0;0,0;0,0;0,4;0,4;9,4;0,2;0,8;0,0;0,4;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/09/2018;3;23,6;123,6;16;30;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,8;18,0;7,6;23,6;20,8;12,8;0,2;1,0;9,2;0,0;0,0;0,0;0,0;0,0;18,0;4,6;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243259;1;01/08/2018;3;17,8;53,2;6;31;1;1;1;;0;3,6;10,0;9,4;9,8;0,0;17,8;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
